model,strategy,clean_test_acc,clean_test_loss,trainable_params,train_seconds,best_val_acc,inference_ips
Enet,linear_probe,0.640713,1.356558,129381,2514.7138,0.605545,279.132928
Enet,batchnorm_tuning,0.858515,0.49087,283253,2895.296366,0.825149,280.141485
Enet,adapter_tuning,0.786673,0.75422,567845,1359.386785,0.759208,268.699928
Enet,lora_tuning,0.85598,0.502029,2583141,1151.348015,0.817822,248.92879
Enet,full_finetune,0.875941,0.454032,20306869,1367.64826,0.84,286.502025
Rnet,linear_probe,0.571762,1.656007,51813,316.242637,0.532739,318.347972
Rnet,batchnorm_tuning,0.684673,1.175597,61413,356.599941,0.64099,310.744261
Rnet,adapter_tuning,0.695663,1.124928,138853,267.701058,0.648119,311.833537
Rnet,lora_tuning,0.657327,1.271341,194661,231.232388,0.61868,324.122069
Rnet,full_finetune,0.754297,0.938261,11228325,267.183059,0.710693,322.138783
Rnet,custom_model,0.766376,0.964557,11228325,625.623136,0.723366,322.792095
VIT,linear_probe,0.755663,0.894075,77669,790.831049,0.702376,380.267699
VIT,batchnorm_tuning,0.810475,0.675295,116069,1265.088519,0.757822,393.948344
VIT,adapter_tuning,0.809129,0.673638,972197,644.752243,0.760528,359.251795
VIT,lora_tuning,0.749525,0.944163,28794725,2631.803282,0.693993,383.018579
VIT,full_finetune,0.810515,0.779315,85876325,1783.294334,0.75868,386.048449
